epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.67292,4.16275,5.09434,0,0.00021,0.11111,0.00077,0.00015,4.34802,5.57891,0,2e-05,2e-05,2e-05
2,0.947816,4.39275,5.26082,0,0.00021,0.11111,0.00077,0.00015,4.34842,5.56771,0,5.99505e-05,5.99505e-05,5.99505e-05
3,1.19589,4.4568,5.83764,0,0.00021,0.11111,0.00063,0.00013,4.34319,5.5533,0,9.9835e-05,9.9835e-05,9.9835e-05
4,1.44505,4.28079,5.05166,0,0.00021,0.11111,0.00084,0.00017,4.33975,5.53437,0,0.000139654,0.000139654,0.000139654
5,1.697,4.32802,5.17484,0,0.00021,0.11111,0.00077,0.00015,4.33817,5.51311,0,0.000179406,0.000179406,0.000179406
6,1.9432,4.08477,4.76978,0,0.00021,0.11111,0.00025,5e-05,4.33207,5.50453,0,0.000219093,0.000219093,0.000219093
7,2.18748,4.32531,4.89174,0,0.00021,0.11111,0.01055,0.00211,4.32856,5.47419,0,0.000258713,0.000258713,0.000258713
8,2.53699,4.30873,5.49358,0,0.00021,0.11111,0.00024,5e-05,4.32911,5.45672,0,0.000298268,0.000298268,0.000298268
9,2.78333,4.524,5.61456,0,0.00021,0.11111,0.00069,7e-05,4.33273,5.45094,0,0.000337756,0.000337756,0.000337756
10,3.06859,4.10776,5.49454,0,0.00021,0.11111,0.00022,2e-05,4.33331,5.4471,0,0.000377179,0.000377179,0.000377179
11,3.39812,4.22754,4.93896,0,0.00021,0.11111,0.00451,0.00045,4.34151,5.4531,0,0.000416535,0.000416535,0.000416535
12,3.72264,4.30831,5.28614,0,0.00021,0.11111,0.00069,7e-05,4.33988,5.45141,0,0.000455826,0.000455826,0.000455826
13,4.04785,4.03337,4.90298,0,0.00021,0.11111,0.00075,7e-05,4.34789,5.438,0,0.00049505,0.00049505,0.00049505
14,4.37511,4.52396,4.95192,0,0.00021,0.11111,0.00078,8e-05,4.34359,5.44094,0,0.000534208,0.000534208,0.000534208
15,4.80292,4.24333,4.53242,0,0.00021,0.11111,0.00249,0.00025,4.33987,5.4328,0,0.000573301,0.000573301,0.000573301
16,5.12598,4.31502,4.48018,0,0.00021,0.11111,0.00048,5e-05,4.33818,5.42926,0,0.000612328,0.000612328,0.000612328
17,5.45237,4.46712,4.9822,0,0.00021,0.11111,0.00061,6e-05,4.33737,5.42814,0,0.000651288,0.000651288,0.000651288
18,5.77946,4.37232,4.91334,0,0.00021,0.11111,0.00045,4e-05,4.34198,5.42772,0,0.000690182,0.000690182,0.000690182
19,6.10387,4.24194,4.64903,0,0.00021,0.11111,0.00048,5e-05,4.33223,5.43255,0,0.000729011,0.000729011,0.000729011
20,6.50736,4.31287,4.69382,0,0.00021,0.11111,0.00027,3e-05,4.32983,5.43571,0,0.000767774,0.000767774,0.000767774
21,6.8341,4.28482,5.18475,0,0.00021,0.11111,0.00068,7e-05,4.32252,5.43142,0,0.00080647,0.00080647,0.00080647
22,7.16512,4.26348,4.84845,0,0.00021,0.11111,0.00045,4e-05,4.31375,5.43264,0,0.000845101,0.000845101,0.000845101
23,7.48932,4.30845,4.79807,0,0.00021,0.11111,0.00051,5e-05,4.30987,5.43506,0,0.000883665,0.000883665,0.000883665
24,7.82154,4.13725,4.67736,0,0.00021,0.11111,0.00043,9e-05,4.30051,5.42739,0,0.000922163,0.000922163,0.000922163
25,8.24477,4.20719,4.33365,0,0.00021,0.11111,0.00053,0.00011,4.28678,5.38448,0,0.000960596,0.000960596,0.000960596
26,8.5636,4.46826,4.51441,0,0.00021,0.11111,0.00037,7e-05,4.28118,5.38559,0,0.000998962,0.000998962,0.000998962
27,8.87631,4.17735,4.42919,0,0.00021,0.11111,0.00032,6e-05,4.27402,5.38001,0,0.00103726,0.00103726,0.00103726
28,9.18886,4.38646,4.63234,0,0.00021,0.11111,0.00041,8e-05,4.27021,5.38694,0,0.0010755,0.0010755,0.0010755
29,9.50471,4.16622,4.43883,0,0.00021,0.11111,0.00057,6e-05,4.27466,5.39476,0,0.00111367,0.00111367,0.00111367
30,9.81703,4.12128,4.76552,0,0.00021,0.11111,0.00048,5e-05,4.26819,5.39854,0,0.00115177,0.00115177,0.00115177
31,10.209,4.41339,4.77911,0,0.00021,0.11111,0.00052,5e-05,4.26848,5.39079,0,0.0011898,0.0011898,0.0011898
32,10.5205,4.27719,4.48956,0,0.00021,0.11111,0.00052,5e-05,4.26455,5.37548,0,0.00122778,0.00122778,0.00122778
33,10.8334,4.28385,4.3297,0,0.00021,0.11111,0.00035,3e-05,4.26318,5.33456,0,0.00126568,0.00126568,0.00126568
34,11.1449,4.32506,4.50688,0,0.00021,0.11111,0.00031,3e-05,4.25031,5.31978,0,0.00130352,0.00130352,0.00130352
35,11.4559,4.20547,4.5622,0,0.00021,0.11111,0.00027,3e-05,4.2411,5.24463,0,0.00134129,0.00134129,0.00134129
36,11.8537,3.82127,4.38638,0,0.00021,0.11111,0.00025,5e-05,4.22801,5.08899,0,0.001379,0.001379,0.001379
37,12.1678,3.78971,4.3572,0,0.00021,0.11111,0.00024,5e-05,4.20032,5.07799,0,0.00141664,0.00141664,0.00141664
38,12.4775,4.42548,4.68488,0,0.00021,0.11111,0.00024,5e-05,4.19872,5.09561,0,0.00145421,0.00145421,0.00145421
39,12.7951,4.06071,4.13598,0,0.00021,0.11111,0.00027,5e-05,4.18856,5.07769,0,0.00149172,0.00149172,0.00149172
40,13.1056,4.12945,4.36714,0,0.00021,0.11111,0.00027,5e-05,4.18206,5.07286,0,0.00152916,0.00152916,0.00152916
41,13.4172,4.13432,4.30891,0,0.00042,0.22222,0.00047,8e-05,4.17865,5.08884,0,0.00156654,0.00156654,0.00156654
